Species,Label,Production_1000t, Export_1000t, Export_lw_1000t, Import_1000t, Import_lw_1000t,DWF_1000t
Abalone,,425.42,30.17,57.08,1.84,2.32,
Alaska pollack,Alaska pollack,0,1330.81,3786.1,2563.71,4150.13,
Blue whitings,,0,0.19,0.23,242.33,290.68,
Carp,Carp,67962.65,159.15,171.11,1.68,1.94,
"Clams, cockles and ark shells",,19155.38,570.31,691.96,26.51,44.42,
Cod,,0,565.06,1529.4,715.12,1077.85,
Crab,,7099.29,314.12,662.06,228.05,385.08,0.5
Cuttlefish and squid,Cuttlefish & squid,4693.28,1476.19,1884.36,1406.79,1785.83,2175.9
Eel,,3558.23,146.31,219.04,5.97,6.26,
Flatfish,,510.6,398.74,940.44,733.47,862.95,
"Gadiformes (excl. cod, haddock, coalfish, hake, Alaska pollock)",,0,221.03,699.81,136.94,178.36,
Haddock,,0,105.77,322.8,168.2,235.55,
Hake,,0.18,42.74,97.23,60.13,90.95,
Herring,,66.57,322.77,328.72,654.58,654.74,
Lobsters,Lobsters,0,2.39,4.09,27.64,31.24,
Mackerel,,2215.69,910.27,1108.18,478.68,386.74,105.8
Octopus,Octopus,496.57,303.2,391.96,17.67,22.62,4
Rock lobsters and other sea crawfish,,2308.76,0.78,0.78,31.72,31.72,
Pacific salmon,Pacific salmon,0,373.8,658.39,585.38,813.38,
Atlantic salmon,Atlantic salmon,0,1.08,1.26,147.7,169.23,
Sardine,Sardines,595.15,481.28,647.2,37.91,46.32,4.2
Scallop,,6186.37,127.6,756.98,123.82,754,
Shrimp and prawn,Shrimp & prawns,15563.79,959.51,1544.08,306.58,350.88,0.3
Tilapia,Tilapia,6077.02,1198.6,2527.26,0.07,0.2,
Tuna,Tuna,1181.44,627.7,981.97,324.47,376.31,472.2
Oysters,,16361.67,35.31,46.08,5.94,5.95,
Coalfish,,0,37.65,96.01,60.13,90.95,
Croaker,,4499.09,155.57,202.82,3.2,4.25,
Hairtail,,4387.78,46.85,62.23,241.88,318.93,
Bream,,4216.58,,,,,
Catfish,,3693.17,43.2,77.26,39.42,83.51,
Anchovy,,3574.92,3.61,6.21,2.32,3.17,
Nile perch and snakeheads,,1813.96,3.29,5.77,2.98,5.3,
Scad,,2341.02,,,,,
Seerfishes,,1788.29,,,,,
Pomfret,,1343.88,120.76,160.03,12.55,16.64,
