Species,Import_lw_1000t,Export_lw_1000t,Production_1000t
Alaska pollock,4161.91,3803.50,0.00
Atlantic salmon,169.53,1.67,0.00
Blue whitings,290.78,0.23,0.00
Cod,1080.69,1545.68,0.00
Crab,385.13,668.07,7099.29
Cuttlefish and squid,1808.92,1958.08,4393.70
Flatfish,605.40,894.73,510.60
Haddock,235.55,333.44,0.00
Hairtails,344.70,67.75,4387.78
Herrings,655.38,329.07,66.57
Mackerel,387.05,1115.64,1984.88
Pacific salmon,766.71,666.21,0.00
Scallops,742.20,772.89,6186.37
Shrimps and prawns,350.78,1304.24,15563.79
Tuna,379.88,1048.74,472.63
