Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1985],[1986],[1987],[1988],[1989],[1990],[1991],[1992],[1993],[1994],[1995],[1996],[1997],[1998],[1999],[2000],[2001],[2002],[2003],[2004],[2005],[2006],[2007],[2008],[2009],[2010],[2011],[2012],[2013],[2014],[2015],[2016],[2017],[2018],[2019]
China,"Abalone (Haliotis spp.), frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,713,609.36
China,"Abalone meat, prepared or preserved",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2374,3171,6540,5846,4871,8100,9073,7236.11
China,"Abalones, dried, salted or in brine, smoked",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,27,22.98
China,"Abalones, shucked or not, live,fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,5,49,24,92,180,252,334,444,261,260,0,67,5,4,1,23,11,54,12,129,126,100,57,12,62,194,449,366,560,1198,1409,1163,1278,1649,1637.65
China,"Abalones, shucked or not, other than live,fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,18,14,24,0,263,28,66,6,19,22,180,214,90,60,28,68,4,100,313,893,2189,1922,3234,2510,1936,0,0,0
China,"Alaska pollock fillets, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322934,341156,291686,261603,252814,240020,240309,265427.05
China,"Alaska pollock, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28810,13366,19540,44029,30740,60575,38468,29585.47
China,"Alaska pollock, meat, whether or not minced, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1581,2000,4738,5268,4816,4553,7880,9966.26
China,"Albacore (=Longfin tuna), fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,11,24,15,2,11,22,19,1,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,"Albacore (=Longfin tuna), frozen, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,132,0,70,0,3,0,0,138,0,429,0,0,0,50,0,1336,222,2225,1702,2019,5334,5962,4004,3516,8820,7754,11267,16829.34
China,"American/European lobsters (Homarus spp.), live, fresh or chilled, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,61,29.31
China,"American/European lobsters (Homarus spp.), nei, even smoked, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,291,128,469,324,406,877,350,328,198,335,259,362,363,193,422,589,543,720,707,855,561,390,163,343,124,49,63,57.65
China,"American/European lobsters (Homarus spp.), not frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,11,20,7,48,8,38,4,0,7,72,16,0,0,1,0,0,0,0,0,0,26,83,273,208,146,0,0,0
China,"Anchovies (Engraulis spp), fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,50
China,"Anchovies, Indian mackerels, seerfishes, jacks, crevalles, silver pomfrets, Pacific saury, scads, capelin, Kawakawa, bonitos, marlins, sailfishes, spearfish, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24902,52088,133406.59
China,"Anchovies, prepared or preserved, not minced",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,16,0,14,0,60,14,65,5,110,126,130,626,442,1433,2654,1800,1720,1125,641,886,459,294,465,238,360,426,445.35
China,"Anchovies, salted or in brine",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,1,128,322,56,25,19,1,308,550,218,186,385,404,144,225,459,65,292,435,285,120,52,1050,84,0,51,0
China,"Aquatic invertebrates, other than live, fresh or chilled, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,371,318,496,369,336,341,258.12
China,"Atlantic salmon and Danube salmon, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,200,0,12,1,0,0,7,6,19,0,0,0,0,0,0,0,11,25,331,360,169,197,658,473,574,287.48
China,"Atlantic salmon, not minced, prepared or preserved",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,103,74,10,0,4,561,36,24,188,115,66,66,44,16,4,29,30.89
China,"Atlantic(Thunnus thynnus)and Pacific(Thunnus orientalis)bluefin tuna, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,112,249,10,0,4,0,38,48,57,91.37
China,"Bigeye tuna, fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,"Bigeye tuna, frozen, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,332,200,772,1020,1240,4734,5023,3277,4371,6465,13307,15687,10653,9995,8917.17
China,"Blue whitings (Micromesistius poutassou, Micromesistius australis), frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,29,155,87,590,102,78.51
China,Carps live,Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,125,86,70,51,49,39,423,2869,2887,3136,3524,4166,3930,5186,5002,4584,3272,3208,2397,2302,41232,48257,50923,54042,47509,41055,42970,42828.1
China,"Carps, eels and snakeheads, fillets, fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,1530,1425,1427,1367,803,1123,1207.86
China,"Carps, eels and snakeheads, fillets, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1936,451,1201,519,3894,4208,3343,1881.32
China,"Carps, fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,44,35,33,20,60,114,93.34
China,"Carps, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,202,135,190,117,378,412,137.44
China,"Catfish fillets, fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,23,9,1,0,0,0
China,"Catfish fillets, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,285,9078,7208,5940,3761,7383,8123,5079,5954,4512,2320,1871.8
China,"Catfish, fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0.32
China,"Catfish, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3769,4442,5204,4874,2382,3578,5400,3716.51
China,Caviar,Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,28,40,55,74,94,129,139.84
China,Caviar and caviar substitutes,Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,5,39,457,264,1016,1400,2814,2394,2962,3339,4020,4207,4557,6871,9486,9600,7509,5126,5278,6194,0,0,0,0,0,0,0,0
China,Caviar substitutes,Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6636,7048,6493,6078,4440,4088,3689,3693.18
China,"Clams, cockles, arkshells nei, dried, salted or in brine, smoked",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696,488,363.26
China,"Clams, cockles, arkshells, etc., prep. or pres., nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,256,18,37,91,163,252,96.94
China,"Clams, cockles, arkshells, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6125,6422,6458.08
China,"Clams, cockles, arkshells, live, fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1603,2517,2935,3494,5564,6873,8098,6971.44
China,"Clams, cockles, arkshells, other than live, fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1976,2714,3927,4530,3952,0,0,0
China,"Clams, prep. or pres., whether or not in airtight containers",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7623,17621,18766,21995,28519,31813,40913,44765,45107,46369,51363,58081,58642,57927.47
China,"Clams, shucked or not, live, fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30928,47402,41496,45654,61456,86948,93062,89742,96656,97859,88934,87726,73405,74339.97
China,"Clams, shucked or not, other than live, fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3169,2755,3175,3547,4843,5105,2757,2348,2477,1997,3162,0,0,0
China,"Cobia, fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,26,0,290.2
China,"Cobia, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,26,52,3,34.69
China,"Cod nei, fillets, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99208,118292,138619,126874,131831,132736,121213,121843.04
China,"Cods nei, dried,  whether or not salted",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,8,0,6,36,36,213,250,547,375,349,1632,1699,3250,5382,5848,5633,6255,7463,6499,5497,7211,8365,2768,2615,2373,2234,1882,1819,1639,1440.19
China,"Cods nei, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,2055,1903,1458,1733,739,1086,559,4081,829,2401,1538,4683,2665,4967,5163,2802,2782,3016,6334,11642,23196,25856,14171,4137,888,788,890,651.88
China,"Cods nei, salted or in brine",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,40,62,58,137,154,229,1075,1990,1806,2831,3060,4510,3949,5090,3671,1811,1386,1219,896,1152,1155,1702,1634,1483,1570,1956,2746,4382.14
