Reporting country (Name),Country,Commodity (Name),Trade flow (Name),Unit (Name),Unit,Quantity
China,Albania,"Fish nei, prepared or preserved, not minced",Imports,Tonnes - net product weight,Tonnes - net product weight,0.29
China,Argentina,"Alaska pollock fillets, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,0.04
China,Argentina,"Anchovies, salted or in brine",Imports,Tonnes - net product weight,Tonnes - net product weight,158.53
China,Argentina,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), frozen, even smoked, whether in shell or not",Imports,Tonnes - net product weight,Tonnes - net product weight,46.14
China,Argentina,"Crab meat nei, prepared or preserved",Imports,Tonnes - net product weight,Tonnes - net product weight,515.35
China,Argentina,"Crabs nei, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,10.7
China,Argentina,"Croakers, fresh or chilled",Imports,Tonnes - net product weight,Tonnes - net product weight,0.25
China,Argentina,"Cuttlefishes and squids, frozen, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,24998.89
China,Argentina,"Fish fillets, frozen, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,538.99
China,Argentina,"Fish heads, tails, maws, tongues, nei frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,366.9
China,Argentina,"Fish, frozen, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,4882.44
China,Argentina,"Fishmeals, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,1285.23
China,Argentina,"Gadiformes fillets, frozen, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,2429.07
China,Argentina,"Gadiformes nei, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,608.24
China,Argentina,"Hairtails, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,31.21
China,Argentina,"Hake nei fillets, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,27.2
China,Argentina,"Hakes nei, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,1337.67
China,Argentina,"Pomfrets, ocean breams, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,175.01
China,Argentina,"Rays and skates (Rajidae), frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,223.16
China,Argentina,"Shrimps and prawns, other than coldwater, even smoked, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,35013.66
China,Argentina,"Shrimps and prawns, peeled, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,85.26
China,Argentina,"Toothfish (Dissostichus spp.), frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,718.62
China,Argentina,"Toothfish (Dissostichus spp.), meat, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,4.91
China,Australia,"Abalone (Haliotis spp.), frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,65.26
China,Australia,"Abalone meat, prepared or preserved",Imports,Tonnes - net product weight,Tonnes - net product weight,23.93
China,Australia,"Abalones, dried, salted or in brine, smoked",Imports,Tonnes - net product weight,Tonnes - net product weight,14.29
China,Australia,"Abalones, shucked or not, live,fresh or chilled",Imports,Tonnes - net product weight,Tonnes - net product weight,837.84
China,Australia,"American/European lobsters (Homarus spp.), live, fresh or chilled, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,1.15
China,Australia,"American/European lobsters (Homarus spp.), nei, even smoked, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,51.15
China,Australia,"Atlantic and Danube salmons, fresh or chilled",Imports,Tonnes - net product weight,Tonnes - net product weight,6754.15
China,Australia,"Clams, cockles, arkshells, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,0.04
China,Australia,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), frozen, even smoked, whether in shell or not",Imports,Tonnes - net product weight,Tonnes - net product weight,9.04
China,Australia,"Crabs nei, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,73.64
China,Australia,"Crabs, peeled or not, live, fresh or chilled, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,113.25
China,Australia,"Crustaceans nei, even smoked, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,0.02
China,Australia,"Crustaceans, live, fresh, chilled or boiled in water, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0.1
China,Australia,"Cuttlefishes and squids, frozen, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0.09
China,Australia,Eels and elvers live,Imports,Tonnes - net product weight,Tonnes - net product weight,18.15
China,Australia,"Fish body oils, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,1925.81
China,Australia,"Fish fillets, fresh or chilled, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0.06
China,Australia,"Fish fillets, frozen, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,7.29
China,Australia,"Fish for culture incl. ova, fingerlings etc.",Imports,Tonnes - net product weight,Tonnes - net product weight,0.28
China,Australia,"Fish heads, tails, maws, tongues, nei frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,131.44
China,Australia,"Fish live, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,72.24
China,Australia,"Fish liver oils, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,102.23
China,Australia,"Fish meat, whether or not minced nei, fresh or chilled",Imports,Tonnes - net product weight,Tonnes - net product weight,0.07
China,Australia,"Fish meat, whether or not minced, frozen, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0.05
China,Australia,"Fish, fresh or chilled, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,23.26
China,Australia,"Fish, frozen, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,708.7
China,Australia,"Gadiformes fillets, frozen, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,1.7
China,Australia,"Gadiformes nei, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,73.46
China,Australia,"Meat of tilapias, catfish, carp, eels, nile perch and snakeheads, fresh or chilled",Imports,Tonnes - net product weight,Tonnes - net product weight,0
China,Australia,"Molluscs nei, live, fresh or chilled",Imports,Tonnes - net product weight,Tonnes - net product weight,2.95
China,Australia,"Mussels, live, fresh or chilled, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,18.29
China,Australia,"Norway lobsters (Nephrops spp.), nei, even smoked, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,17.34
China,Australia,"Octopus, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,1.52
China,Australia,"Octopus, prepared or preserved",Imports,Tonnes - net product weight,Tonnes - net product weight,0.01
