Reporting country (Name),Country,Commodity (Name),Trade flow (Name),Unit (Name),Unit,Value
China,Albania,"Fish nei, prepared or preserved, not minced",Imports,Value (USD 1000),USD 1000,6.03
China,Argentina,"Alaska pollock fillets, frozen",Imports,Value (USD 1000),USD 1000,1.04
China,Argentina,"Anchovies, salted or in brine",Imports,Value (USD 1000),USD 1000,475.59
China,Argentina,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), frozen, even smoked, whether in shell or not",Imports,Value (USD 1000),USD 1000,285.71
China,Argentina,"Crab meat nei, prepared or preserved",Imports,Value (USD 1000),USD 1000,895.03
China,Argentina,"Crabs nei, frozen",Imports,Value (USD 1000),USD 1000,193.15
China,Argentina,"Croakers, fresh or chilled",Imports,Value (USD 1000),USD 1000,1.09
China,Argentina,"Cuttlefishes and squids, frozen, nei",Imports,Value (USD 1000),USD 1000,68928
China,Argentina,"Fish fillets, frozen, nei",Imports,Value (USD 1000),USD 1000,2184.64
China,Argentina,"Fish heads, tails, maws, tongues, nei frozen",Imports,Value (USD 1000),USD 1000,1244.33
China,Argentina,"Fish, frozen, nei",Imports,Value (USD 1000),USD 1000,7443.38
China,Argentina,"Fishmeals, nei",Imports,Value (USD 1000),USD 1000,1952.19
China,Argentina,"Gadiformes fillets, frozen, nei",Imports,Value (USD 1000),USD 1000,7716.43
China,Argentina,"Gadiformes nei, frozen",Imports,Value (USD 1000),USD 1000,1430.6
China,Argentina,"Hairtails, frozen",Imports,Value (USD 1000),USD 1000,46.81
China,Argentina,"Hake nei fillets, frozen",Imports,Value (USD 1000),USD 1000,47.11
China,Argentina,"Hakes nei, frozen",Imports,Value (USD 1000),USD 1000,3285.83
China,Argentina,"Pomfrets, ocean breams, frozen",Imports,Value (USD 1000),USD 1000,464.43
China,Argentina,"Rays and skates (Rajidae), frozen",Imports,Value (USD 1000),USD 1000,196.92
China,Argentina,"Shrimps and prawns, other than coldwater, even smoked, frozen",Imports,Value (USD 1000),USD 1000,253246.05
China,Argentina,"Shrimps and prawns, peeled, frozen",Imports,Value (USD 1000),USD 1000,954.67
China,Argentina,"Toothfish (Dissostichus spp.), frozen",Imports,Value (USD 1000),USD 1000,17415.44
China,Argentina,"Toothfish (Dissostichus spp.), meat, frozen",Imports,Value (USD 1000),USD 1000,27.1
China,Australia,"Abalone (Haliotis spp.), frozen",Imports,Value (USD 1000),USD 1000,5340.54
China,Australia,"Abalone meat, prepared or preserved",Imports,Value (USD 1000),USD 1000,516.13
China,Australia,"Abalones, dried, salted or in brine, smoked",Imports,Value (USD 1000),USD 1000,2002.88
China,Australia,"Abalones, shucked or not, live,fresh or chilled",Imports,Value (USD 1000),USD 1000,52487.51
China,Australia,"American/European lobsters (Homarus spp.), live, fresh or chilled, nei",Imports,Value (USD 1000),USD 1000,30.89
China,Australia,"American/European lobsters (Homarus spp.), nei, even smoked, frozen",Imports,Value (USD 1000),USD 1000,1250.82
China,Australia,"Atlantic and Danube salmons, fresh or chilled",Imports,Value (USD 1000),USD 1000,51902.36
China,Australia,"Clams, cockles, arkshells, frozen",Imports,Value (USD 1000),USD 1000,1.05
China,Australia,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), frozen, even smoked, whether in shell or not",Imports,Value (USD 1000),USD 1000,257.55
China,Australia,"Crabs nei, frozen",Imports,Value (USD 1000),USD 1000,716.97
China,Australia,"Crabs, peeled or not, live, fresh or chilled, nei",Imports,Value (USD 1000),USD 1000,3668.98
China,Australia,"Crustaceans nei, even smoked, frozen",Imports,Value (USD 1000),USD 1000,0.53
China,Australia,"Crustaceans, live, fresh, chilled or boiled in water, nei",Imports,Value (USD 1000),USD 1000,6.93
China,Australia,"Cuttlefishes and squids, frozen, nei",Imports,Value (USD 1000),USD 1000,0.64
China,Australia,Eels and elvers live,Imports,Value (USD 1000),USD 1000,166.59
China,Australia,"Fish body oils, nei",Imports,Value (USD 1000),USD 1000,52732.73
China,Australia,"Fish fillets, fresh or chilled, nei",Imports,Value (USD 1000),USD 1000,1.41
China,Australia,"Fish fillets, frozen, nei",Imports,Value (USD 1000),USD 1000,136.37
China,Australia,"Fish for culture incl. ova, fingerlings etc.",Imports,Value (USD 1000),USD 1000,191.45
China,Australia,"Fish heads, tails, maws, tongues, nei frozen",Imports,Value (USD 1000),USD 1000,227.59
China,Australia,"Fish live, nei",Imports,Value (USD 1000),USD 1000,2198.14
China,Australia,"Fish liver oils, nei",Imports,Value (USD 1000),USD 1000,11447.37
China,Australia,"Fish meat, whether or not minced nei, fresh or chilled",Imports,Value (USD 1000),USD 1000,1.92
China,Australia,"Fish meat, whether or not minced, frozen, nei",Imports,Value (USD 1000),USD 1000,1.09
China,Australia,"Fish, fresh or chilled, nei",Imports,Value (USD 1000),USD 1000,261.59
China,Australia,"Fish, frozen, nei",Imports,Value (USD 1000),USD 1000,4152.35
China,Australia,"Gadiformes fillets, frozen, nei",Imports,Value (USD 1000),USD 1000,4.77
China,Australia,"Gadiformes nei, frozen",Imports,Value (USD 1000),USD 1000,195.25
China,Australia,"Meat of tilapias, catfish, carp, eels, nile perch and snakeheads, fresh or chilled",Imports,Value (USD 1000),USD 1000,0.19
China,Australia,"Molluscs nei, live, fresh or chilled",Imports,Value (USD 1000),USD 1000,235.85
China,Australia,"Mussels, live, fresh or chilled, nei",Imports,Value (USD 1000),USD 1000,109.17
China,Australia,"Norway lobsters (Nephrops spp.), nei, even smoked, frozen",Imports,Value (USD 1000),USD 1000,482.44
China,Australia,"Octopus, frozen",Imports,Value (USD 1000),USD 1000,31.7
China,Australia,"Octopus, prepared or preserved",Imports,Value (USD 1000),USD 1000,0.22
China,Australia,Ornamental saltwater fish,Imports,Value (USD 1000),USD 1000,0.75
China,Australia,"Other aquatic invertebrates, live, fresh or chilled",Imports,Value (USD 1000),USD 1000,527.5
China,Australia,"Oysters, live fresh or chilled, nei",Imports,Value (USD 1000),USD 1000,52.44
