Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1985],[1986],[1987],[1988],[1989],[1990],[1991],[1992],[1993],[1994],[1995],[1996],[1997],[1998],[1999],[2000],[2001],[2002],[2003],[2004],[2005],[2006],[2007],[2008],[2009],[2010],[2011],[2012],[2013],[2014],[2015],[2016],[2017],[2018],[2019]
China,"Abalone (Haliotis spp.), frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,99,205.7
China,"Abalone meat, prepared or preserved",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,5,1,13,9,18,33.9
China,"Abalones, dried, salted or in brine, smoked",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,31.86
China,"Abalones, shucked or not, live,fresh or chilled",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,31,203,201,0,6,1,7,18,65,51,74,188,370,665,441,236,203,381,0,0,454,426,442,274,968,794,1334,922.54
China,"Abalones, shucked or not, other than live,fresh or chilled",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,174,340,196,35,65,58,70,242,0,329,22,24,23,20,46,355,189,163,288,138,123,47,63,640,822,53,15,64,82,76,0,0,0
China,"Alaska pollock fillets, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921,2620,3407,2352,1869,5859,6009,2861.65
China,"Alaska pollock, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649357,664447,615268,625334,625063,664703,569082,685891.78
China,"Alaska pollock, meat, whether or not minced, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696,1695,1997,2694,2286,5388,4400,4049.32
China,"Albacore (=Longfin tuna), fresh or chilled",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,1,6,0,1,0,2,2,2,1,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,3,1.05
China,"Albacore (=Longfin tuna), frozen, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,1,1000,103,24,169,1690,1927,1320,877,1550,2857,3922,1103,1500,1373,3061,2522,3432,50.19
