Commodity (Name),Species,HS_code_2017,HS_code_2012,,,
"Abalone (Haliotis spp.), frozen",Abalone,30783,30789,,,
"Abalone meat, prepared or preserved",Abalone,160557,160557,,,
"Abalones, dried, salted or in brine, smoked",Abalone,30787,30789,,,
"Abalones, shucked or not, live,fresh or chilled",Abalone,30781,30781,,,
"Abalones, shucked or not, other than live,fresh or chilled",Abalone,,30789,,,
"Alaska pollock fillets, frozen",Alaska pollock,30475,30475,,,
"Alaska pollock, frozen",Alaska pollock,30367,30367,,,
"Alaska pollock, meat, whether or not minced, frozen",Alaska pollock,30494,30494,,,
"Albacore (=Longfin tuna), fresh or chilled",Tuna,30231,30231,,,
"Albacore (=Longfin tuna), frozen, nei",Tuna,30341,30341,,,
"American/European lobsters (Homarus spp.), live, fresh or chilled, nei",Lobsters,30632,30622,,,
"American/European lobsters (Homarus spp.), nei, even smoked, frozen",Lobsters,30612,30612,,,
"American/European lobsters (Homarus spp.), not frozen",Lobsters,30692,30622,,,
"Anchovies (Engraulis spp), fresh or chilled",Anchovy,30242,30242,,,
"Anchovies, Indian mackerels, seerfishes, jacks, crevalles, silver pomfrets, Pacific saury, scads, capelin, Kawakawa, bonitos, marlins, sailfishes, spearfish, frozen",Anchovy,30359,30389,,,
"Anchovies, prepared or preserved, not minced",Anchovy,160416,160416,,,
"Anchovies, salted or in brine",Anchovy,30563,30563,,,
"Aquatic invertebrates, other than live, fresh or chilled, nei",Unspecified crustaceans and mollusc,30890,30890,,,
"Atlantic and Danube salmons, fresh or chilled",Atlantic salmon,30214,30214,,,
"Atlantic salmon and Danube salmon, frozen",Atlantic salmon,30313,30313,,,
"Atlantic salmon, not minced, prepared or preserved",Atlantic salmon,160411,160411,,,
"Atlantic(Thunnus thynnus), Pacific(T.orientalis) bluefin tuna, live",Tuna,30194,30194,,,
"Atlantic(Thunnus thynnus)and Pacific(Thunnus orientalis)bluefin tuna, fresh or chilled",Tuna,30235,30235,,,
"Atlantic(Thunnus thynnus)and Pacific(Thunnus orientalis)bluefin tuna, frozen",Tuna,30345,30345,,,
"Bigeye tuna, fresh or chilled",Tuna,30234,30234,,,
"Bigeye tuna, frozen, nei",Tuna,30344,30344,,,
"Blue whitings (Micromesistius poutassou, Micromesistius australis), fresh or chilled",Blue whiting,30256,30256,,,
"Blue whitings (Micromesistius poutassou, Micromesistius australis), frozen",Blue whiting,30368,30368,,,
Carps live,Carp,30193,30193,,,
"Carps, eels and snakeheads, fillets, fresh or chilled","Carp, eels and snakeheads",30439,30439,,,
"Carps, eels and snakeheads, fillets, frozen","Carp, eels and snakeheads",30469,30469,,,
"Carps, fresh or chilled",Carp,30273,30273,,,
"Carps, frozen",Carp,30325,30325,,,
"Catfish fillets, fresh or chilled",Catfish,30432,30432,,,
"Catfish fillets, frozen",Catfish,30462,30462,,,
"Catfish, fresh or chilled",Catfish,30272,30272,,,
"Catfish, frozen",Catfish,30324,30324,,,
Caviar,Caviar,160431,160431,,,
Caviar and caviar substitutes,Caviar,160432,160432,,,
Caviar substitutes,Caviar,160432,160432,,,
"Clams, cockles, arkshells nei, dried, salted or in brine, smoked","Clams, cockles, and arkshells",30779,30779,,,
"Clams, cockles, arkshells, etc., prep. or pres., nei","Clams, cockles, and arkshells",160556,160556,,,
"Clams, cockles, arkshells, frozen","Clams, cockles, and arkshells",30772,30779,,,
"Clams, cockles, arkshells, live, fresh or chilled","Clams, cockles, and arkshells",30771,30771,,,
"Clams, cockles, arkshells, other than live, fresh or chilled","Clams, cockles, and arkshells",,30779,,,
"Clams, prep. or pres., whether or not in airtight containers","Clams, cockles, and arkshells",160556,160556,,,
"Clams, shucked or not, live, fresh or chilled","Clams, cockles, and arkshells",30771,30771,,,
"Clams, shucked or not, other than live, fresh or chilled","Clams, cockles, and arkshells",30772,30779,,,
"Cobia, frozen",Cobia,30356,30356,,,
"Cod nei, fillets, frozen",Cod,30471,30471,,,
"Cods nei, dried,  whether or not salted",Cod,30551,30551,,,
"Cods nei, frozen",Cod,30363,30363,,,
"Cods nei, salted or in brine",Cod,30562,30562,,,
"Cods, fresh or chilled, nei",Cod,30251,30251,,,
"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), frozen, even smoked, whether in shell or not",Shrimps and prawns,30616,30616,,,
"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), live, fresh or chilled",Shrimps and prawns,30635,30626,,,
"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), not frozen",Shrimps and prawns,30635,30626,,,
"Cold-water shrimps and prawns Pandalus spp, in shell or not, live, fresh or chilled",Shrimps and prawns,30635,30626,,,
"Common sole (Solea Solea), fresh or chilled",Sole,30223,30223,,,
"Common sole (Solea Solea), frozen",Sole,30333,30333,,,
"Crab meat nei, prepared or preserved",Crab,160510,160510,,,
"Crabs nei, frozen",Crab,30614,30614,,,
"Crabs, dried, salted or in brine, smoked, nei",Crab,30693,30624,,,
"Crabs, live",Crab,30633,30624,,,
"Crabs, not frozen",Crab,30633,30624,,,
"Crabs, peeled or not, live, fresh or chilled, nei",Crab,30633,30624,,,
"Crayfish (freshwater), live, fresh or chilled",Crayfish,3061919,3061919,,,
"Crayfish (freshwater), prepared or preserved",Crayfish,16054019,16054019,,,
"Croakers, fresh or chilled",Croakers,3028920,3028920,,,
"Croakers, frozen",Croakers,3038920,3038920,,,
"Crustacean and mollusc preparations, not in airtight containers",Unspecified crustaceans and mollusc,160540,160540,,,
"Crustacean meal, nei",-,230120,230120,,,
"Crustaceans and molluscs, nei, frozen",Unspecified crustaceans and mollusc,30619,30619,,,
