Country (Name),Name1,Name,Fishing_area,Production_source,Unit (Name),[1950],[1951],[1952],[1953],[1954],[1955],[1956],[1957],[1958],[1959],[1960],[1961],[1962],[1963],[1964],[1965],[1966],[1967],[1968],[1969],[1970],[1971],[1972],[1973],[1974],[1975],[1976],[1977],[1978],[1979],[1980],[1981],[1982],[1983],[1984],[1985],[1986],[1987],[1988],[1989],[1990],[1991],[1992],[1993],[1994],[1995],[1996],[1997],[1998],[1999],[2000],[2001],[2002],[2003],[2004],[2005],[2006],[2007],[2008],[2009],[2010],[2011],[2012],[2013],[2014],[2015],[2016],[2017],[2018],[2019]
China,Grass carp(=White amur),Grass carp(=White amur),Asia - Inland waters,Aquaculture production,Tonnes - live weight,9893,17577,20397,27296,41688,47852,50829,84709,83067,89434,74936,52369,47225,54000,60028,77157,78709,75014,72859,82003,87291,92982,93155,98800,106567,112886,111088,115227,114322,122000,135200,152100,181100,214200,271700,356900,442700,522600,584600,934537,1023199,1045962,1231845,1464945,1789591,2070988,2407908,2451801,2518648,2694757,2755878,2870893,2957799,3017191,3193026,3328994,3359084,3555963,3707146,4015245,4073044,4198320,4354915,4609083,4877560,5151789,5286580,5345641,5504301,5533083
China,Cupped oysters nei,Cupped oysters nei,"Pacific, Northwest",Aquaculture production,Tonnes - live weight,7068,26608,55831,65033,80081,97774,55018,108275,72877,91002,101434,74659,71876,72740,56468,79578,90629,104767,105154,109955,122809,154334,169795,142840,160139,174695,173356,215785,222735,210302,219605,223100,221723,238128,248604,310828,336013,400468,451859,447545,503183,534148,751579,1029046,1915338,2279757,2284663,2182411,2566429,2660337,2904508,3066431,3177530,3211346,3281883,3346963,3455461,3508934,3354382,3463334,3535235,3580474,3783999,4037709,4159382,4380578,4660434,4879422,5139760,5225595
China,Silver carp,Silver carp,Asia - Inland waters,Aquaculture production,Tonnes - live weight,29683,52738,61201,81901,125084,143578,152511,254167,249239,268344,224844,157133,141697,162000,180112,231507,236163,225079,218611,246048,261913,278988,279509,296447,319751,338709,333316,345734,343020,366000,405700,456300,543200,642700,760700,999300,1180600,1324000,1481000,1336050,1398680,1360969,1540704,1806592,2139415,2473333,2800383,2859851,2810677,2798409,2812789,2840520,2942521,2921666,2993036,3042164,3147172,3075578,3193270,3427862,3480086,3510021,3358606,3500824,3833618,3952299,3918236,3852813,3858864,3810286
China,Japanese carpet shell,Japanese carpet shell,"Pacific, Northwest",Aquaculture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,10,20,37,66,116,296,426,529,842,2316,5023,11062,12307,11720,13763,14517,19903,31716,45825,67057,88614,113719,134279,185519,233665,328071,576114,913259,1106573,1069275,1093948,1178559,1272214,1599833,1426150,1769450,2016608,2229004,2449007,2499379,2726942,2957346,3058073,3155607,3434382,3444205,3579570,3688255,3791331,3840463,4120650,4177913,4080776,3967387
China,Bighead carp,Bighead carp,Asia - Inland waters,Aquaculture production,Tonnes - live weight,13190,23435,27196,36395,55584,63803,67772,112946,110755,119245,99915,69826,62966,72000,80038,102876,104945,100019,97145,109337,116388,123975,124207,131734,142089,150514,148117,153635,152430,162700,180300,202800,241400,285600,362200,475800,590300,627100,701500,628730,658208,680434,770352,901942,1053742,1236667,1400192,1429925,1405338,1399204,1406394,1420260,1471261,1646568,1795457,1883268,2040415,2135371,2290228,2395023,2460736,2521810,2596920,2741278,2905495,3049050,3114939,3097952,3096426,3101637
China,Common carp,Common carp,Asia - Inland waters,Aquaculture production,Tonnes - live weight,3958,7032,8161,10921,16679,19145,20336,33892,33234,35782,29982,20953,18894,21600,24017,30870,31491,30013,29150,32809,34925,37201,37271,39529,42637,45165,44446,46101,45740,48800,54100,60800,72400,85700,181100,237900,354200,522600,584600,460532,522369,594476,706119,891624,1127596,1398618,1591508,1640470,1729603,1804591,1847133,1901744,1933726,1958663,2043358,2135832,2134276,2228585,2350691,2422363,2448779,2568992,2638394,2747745,2877868,3047709,2998937,3004345,2962218,2885284
China,[Carassius spp],[Carassius spp],Asia - Inland waters,Aquaculture production,Tonnes - live weight,1977,3512,4076,5454,8330,9561,10156,16926,16598,17870,14973,10464,9436,10800,11994,15417,15727,14989,14558,16385,17442,18579,18614,19742,21294,22556,22197,23024,22843,24400,27000,30400,36200,42800,54300,71400,88500,104500,116900,205044,211584,218908,254323,291529,385220,533740,689905,799571,925844,1087399,1198487,1320918,1468019,1545516,1679907,1798201,1845082,1937121,1955500,2022101,2137808,2170654,2231739,2358600,2510906,2643185,2725841,2817989,2771565,2755632
China,Marine fishes nei,Marine fishes nei,"Pacific, Northwest",Capture production,Tonnes - live weight,326400,470400,595200,604800,736300,805400,936000,912000,912000,960000,960000,960000,1008000,1008000,1008000,1056000,1055950,1055940,1112920,1112850,809420,1154576,1219350,1166750,1445241,1679899,1790356,1591010,1313750,1202205,1159697,1091279,1219016,1218247,1199686,1249786,1471029,1640372,1929317,2232740,2280849,2404770,2933682,3094592,3237857,3321368,4394586,3840855,3803796,3815793,3419068,2967317,2889899,2003202,1997870,1988685,1444516,1784980,1934163,2450000,2200000,2180000,2168620,2176125,2406443,2477632,3303774,3118482,3169508,2958813.77
China,Scallops nei,Scallops nei,"Pacific, Northwest",Aquaculture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,54,2491,1162,1974,3813,8312,23686,43640,121991,129461,147003,188698,338022,728352,825615,916492,999573,938616,570117,634086,811366,843512,819972,786113,796518,906022,1046950,1165311,1137039,1262031,1365896,1244983,1360689,1539226,1576378,1710080,1849887,2007529,1917850,1828107
China,Freshwater fishes nei,Freshwater fishes nei,Asia - Inland waters,Capture production,Tonnes - live weight,164039,232807,293999,448000,482040,520942,351093,135193,146145,103690,200354,350822,385124,340000,299758,285548,275201,299833,314207,253236,321679,259737,254377,312439,261048,250196,257992,251189,234794,239478,261828,275686,271909,330126,356849,385622,412002,453770,510658,578725,608018,709440,650385,738015,794129,894855,994971,963770,1095926,1231357,1069570,899384,802492,1501030,1494274,1586017,1542684,1574051,1615339,1526285,1450000,1400000,1378377,1395768,1403195,1399069,1451900,1615758,1470819,1383929
China,Nile tilapia,Nile tilapia,Asia - Inland waters,Aquaculture production,Tonnes - live weight,660,1173,1362,1822,2783,3195,3393,5655,5546,5971,5003,3496,3153,3600,4007,5151,5255,5008,4864,5475,5828,6207,6219,6596,7114,7536,7416,7693,7632,8100,9000,10100,12100,14300,18100,23800,29500,34800,39000,89473,106071,119852,157233,191257,235940,314903,394303,452160,471813,494357,548261,582402,611165,696169,774662,844210,742512,850211,832698,928151,963639,1021434,1060546,1130228,1155577,1211270,1170145,1188480,1218547,1231162
China,Largehead hairtail,Largehead hairtail,"Pacific, Northwest",Capture production,Tonnes - live weight,129200,186200,235600,239400,291500,318800,370500,361000,361000,380000,380000,380000,399000,399000,399000,418000,418000,418000,428000,428000,391800,429600,495500,564400,577335,483831,433619,392515,387164,437206,413315,499012,493373,451772,450030,458723,406403,393606,365730,416202,497733,559358,622243,635315,878144,1039684,1071914,937696,1084272,1060305,1102782,1094329,1095629,1074614,1191085,1090220,1315730,1152001,1192721,1172440,1186841,1118221,1096694,1096812,1084184,1105713,1037879,1012329,939372,916693
China,Japanese anchovy,Japanese anchovy,"Pacific, Northwest",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54140,113050,192720,557237,438955,489066,671376,1110860,1217190,951419,980461,1075571,998129,1106500,935358,882551,793395,806528,658721,521897,598110,766639,824153,866808,926462,955750,816161,703655,658395,625352
China,Whiteleg shrimp,Whiteleg shrimp,"Pacific, Northwest",Aquaculture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87839,175286,270467,292534,356569,436587,509872,520133,574138,590301,634431,730668,777695,836712,855530,966819,1080791,1117534,1144370
China,Sea mussels nei,Sea mussels nei,"Pacific, Northwest",Aquaculture production,Tonnes - live weight,2895,3273,3896,4372,6905,8053,8174,11928,9773,11721,15785,12978,13318,14820,15506,18397,21520,24901,26573,29570,36700,45900,51200,44100,49700,55740,59470,102075,96190,65870,63995,95515,107163,114481,136582,128860,210657,312680,429675,490514,495895,498183,538895,509576,415222,415179,366251,373199,489975,541318,471598,499193,581830,598138,627666,675428,539957,448667,479902,630015,681418,674287,732490,715035,769919,809415,862829,927609,903361,870652
