"Species","Import_quantity","share","Production","reexport_share"
"Alaska pollock",5148.24975,0.211492128154977,0,0.84831182989743
"Cuttlefish and squid",2464.69233,0.101250532012156,7869.834,0.414059174138182
"Shrimps and prawns",1512.98399,0.0621539784291756,31456.363,0.0731063442691792
"Cod",1490.87175,0.0612455988976904,0,1.3604473029487
"Herring",1288.65063,0.0529382756123966,115.646,0.427592257078042
"Pacific salmon",1281.45934,0.052642854585808,0,0.809364341598646
"Flatfish",1106.98756,0.0454754851210327,1011.733,0.759708881450847
"Mackerel",874.26274,0.0359150578211948,3728.004,0.610960767253977
"Tuna",696.33349,0.0286056541265665,813.146,1.55265821153883
"Crab",525.56875,0.0215905713255755,14252.061,0.084251498039033
"Hairtails",518.11161,0.0212842290762412,8294.069,0.0118708295095093
"Catfish",490.25547,0.0201398878696432,8232.548,0.0137544900403044
"Blue whiting",449.00845,0.0184454440366005,0,0.00234193595302245
"Atlantic salmon",413.92934,0.0170043803765319,0,0.0090943675679243
"Haddock",356.59856,0.0146492093456422,0,1.35014000261883
