"Species","Country","Quantity","Value","unit_value","share"
"Alaska pollock","Russian Federation",637387.13,877251.75,1.37632485613571,0.920012413345646
"Alaska pollock","United States of America",37545.02,69072.05,1.83971269691693,0.0541929430851711
"Alaska pollock","Japan",10549.72,9316.9,0.883141922250069,0.0152275954447352
"Atlantic salmon","Chile",39167.15,333690.14,8.51964311929768,0.438845898083313
"Atlantic salmon","Norway",25700.18,236371.84,9.19728344315098,0.287956069640063
"Atlantic salmon","Faroe Islands",13190.73,117530.85,8.91010959969615,0.147794714530531
"Blue whiting","EU",25351.29,17277.69,0.681530999014251,0.481529304838126
"Blue whiting","Faroe Islands",11507.13,8191.7,0.711880373298989,0.218569560349077
"Blue whiting","Russian Federation",7684.88,5073.38,0.660176866782565,0.145968703137569
"Catfish","Viet Nam",241522.56,508611.13,2.10585350701814,0.99768711051238
"Catfish","Myanmar",524.99,710.55,1.35345435151146,0.00216864112465475
"Catfish","Taiwan Province of China",34.92,28.39,0.813001145475372,0.000144248362964902
"Cod","Russian Federation",99728,361456.71,3.6244255374619,0.570393408904207
"Cod","Norway",28255.74,127618.65,4.51655663592601,0.161608453590877
"Cod","United States of America",26417.47,93571.73,3.54203979412109,0.151094484677569
"Crab","Russian Federation",13960.58,332651.41,23.827907579771,0.188955802691777
"Crab","Canada",11166.5,182190.53,16.3158133703488,0.151138059504529
"Crab","Bangladesh",7848.45,59041.75,7.52272741751556,0.106228406673382
"Cuttlefish and squid","Peru",101120.05,255289.25,2.52461554360386,0.262994228382286
"Cuttlefish and squid","Indonesia",78354.17,225143.43,2.87340712051445,0.203784456986369
"Cuttlefish and squid","United States of America",26555.02,73005.93,2.74923272511186,0.0690646117617244
"Flatfish","United States of America",96755.37,180023.54,1.86060515297497,0.646395169040492
"Flatfish","Russian Federation",24164.92,45906.61,1.89972116605393,0.161438972826521
"Flatfish","Canada",8060.16,15331.75,1.90216447316182,0.0538476415902643
"Haddock","Norway",21655.85,74049.82,3.4193910652318,0.515854243011527
"Haddock","Russian Federation",19251.06,60008.11,3.1171327708708,0.458570824210063
"Haddock","Greenland",399.1,1309.81,3.28190929591581,0.00950678123398068
"Hairtails","India",38036.65,69516.52,1.82761941443318,0.29238584494191
"Hairtails","Indonesia",30186.05,57720.65,1.91216306870226,0.23203867151047
"Hairtails","Taiwan Province of China",24544.34,34342.91,1.39921912750557,0.188671126122871
"Herring","Russian Federation",160598.75,92766.74,0.577630523276177,0.90751892058882
"Herring","EU",6617.8,5668.66,0.856577714648373,0.0373961734613295
"Herring","United States of America",6243.19,6113.44,0.979217355230259,0.0352793097694155
"Mackerel","Norway",55202.81,104617.23,1.89514320013782,0.423728395941134
"Mackerel","Russian Federation",28322.16,14532.44,0.513111994282922,0.217396604020487
"Mackerel","EU",13350.86,25556.68,1.91423473843633,0.102479176191115
"Pacific salmon","Russian Federation",89451.95,161192.2,1.80199760877208,0.575800430440865
"Pacific salmon","United States of America",61668.72,173054.41,2.80619429104415,0.396960329212915
"Pacific salmon","Chile",1765.52,11667.41,6.60848361955684,0.0113646172716409
"Shrimps and prawns","Ecuador",322776.2,1849772.31,5.73082002328548,0.44708197319136
"Shrimps and prawns","India",155521.12,913267.66,5.87230634655923,0.215414547920603
"Shrimps and prawns","Thailand",39417.08,374699.42,9.50601668109358,0.0545971664076895
"Tuna","Marshall Islands",38233.86,44257.14,1.15753784734264,0.400755268278198
"Tuna","Taiwan Province of China",11585.68,14602.53,1.26039472866504,0.121437445672118
"Tuna","Korea, Republic of",11106.65,21028.12,1.89329095631896,0.116416404214015
